image_name,row,col,building_count
gee_image_row14_col2.png,14,2,0
gee_image_row14_col20.png,14,20,4
gee_image_row14_col21.png,14,21,5
gee_image_row14_col22.png,14,22,5
gee_image_row14_col23.png,14,23,6
gee_image_row14_col24.png,14,24,4
gee_image_row14_col25.png,14,25,7
gee_image_row14_col26.png,14,26,0
gee_image_row14_col27.png,14,27,0
gee_image_row14_col28.png,14,28,0
gee_image_row14_col29.png,14,29,0
gee_image_row14_col3.png,14,3,0
gee_image_row14_col30.png,14,30,0
gee_image_row14_col4.png,14,4,0
gee_image_row14_col5.png,14,5,0
gee_image_row14_col6.png,14,6,1
gee_image_row14_col7.png,14,7,0
gee_image_row14_col8.png,14,8,0
gee_image_row14_col9.png,14,9,0
gee_image_row15_col0.png,15,0,0
gee_image_row15_col1.png,15,1,0
gee_image_row15_col10.png,15,10,12
gee_image_row15_col11.png,15,11,5
gee_image_row15_col12.png,15,12,0
gee_image_row15_col13.png,15,13,15
gee_image_row15_col14.png,15,14,5
gee_image_row15_col15.png,15,15,9
gee_image_row15_col16.png,15,16,29
gee_image_row15_col17.png,15,17,29
gee_image_row15_col18.png,15,18,22
gee_image_row15_col19.png,15,19,6
gee_image_row15_col2.png,15,2,0
gee_image_row15_col20.png,15,20,25
gee_image_row15_col21.png,15,21,21
gee_image_row15_col22.png,15,22,30
gee_image_row15_col23.png,15,23,23
gee_image_row15_col24.png,15,24,33
gee_image_row15_col25.png,15,25,19
gee_image_row15_col26.png,15,26,0
gee_image_row15_col27.png,15,27,0
gee_image_row15_col28.png,15,28,0
gee_image_row15_col29.png,15,29,0
gee_image_row15_col3.png,15,3,0
gee_image_row15_col30.png,15,30,0
gee_image_row15_col4.png,15,4,0
gee_image_row15_col5.png,15,5,0
gee_image_row15_col6.png,15,6,8
gee_image_row15_col7.png,15,7,0
gee_image_row15_col8.png,15,8,0
gee_image_row15_col9.png,15,9,0
gee_image_row16_col0.png,16,0,0
gee_image_row16_col1.png,16,1,0
gee_image_row16_col10.png,16,10,0
gee_image_row16_col11.png,16,11,0
gee_image_row16_col12.png,16,12,2
gee_image_row16_col13.png,16,13,10
gee_image_row16_col14.png,16,14,13
gee_image_row16_col15.png,16,15,38
gee_image_row16_col16.png,16,16,35
gee_image_row16_col17.png,16,17,12
gee_image_row16_col18.png,16,18,28
gee_image_row16_col19.png,16,19,4
gee_image_row16_col2.png,16,2,0
gee_image_row16_col20.png,16,20,30
gee_image_row16_col21.png,16,21,36
gee_image_row16_col22.png,16,22,22
gee_image_row16_col23.png,16,23,21
gee_image_row16_col24.png,16,24,18
gee_image_row16_col25.png,16,25,0
gee_image_row16_col26.png,16,26,0
gee_image_row16_col27.png,16,27,0
gee_image_row16_col28.png,16,28,0
gee_image_row16_col29.png,16,29,0
gee_image_row16_col3.png,16,3,0
gee_image_row16_col30.png,16,30,0
gee_image_row16_col4.png,16,4,0
gee_image_row16_col5.png,16,5,0
gee_image_row16_col6.png,16,6,0
gee_image_row16_col7.png,16,7,0
gee_image_row16_col8.png,16,8,0
gee_image_row16_col9.png,16,9,4
gee_image_row17_col0.png,17,0,0
gee_image_row17_col1.png,17,1,0
gee_image_row17_col10.png,17,10,0
gee_image_row17_col11.png,17,11,6
gee_image_row17_col12.png,17,12,6
gee_image_row17_col13.png,17,13,6
gee_image_row17_col14.png,17,14,2
gee_image_row17_col15.png,17,15,14
gee_image_row17_col16.png,17,16,22
gee_image_row17_col17.png,17,17,6
gee_image_row17_col18.png,17,18,10
gee_image_row17_col19.png,17,19,2
gee_image_row17_col2.png,17,2,0
gee_image_row17_col20.png,17,20,19
gee_image_row17_col21.png,17,21,5
gee_image_row17_col22.png,17,22,12
gee_image_row17_col23.png,17,23,8
gee_image_row17_col24.png,17,24,11
gee_image_row17_col25.png,17,25,0
gee_image_row17_col26.png,17,26,0
gee_image_row17_col27.png,17,27,0
gee_image_row17_col28.png,17,28,0
gee_image_row17_col29.png,17,29,0
gee_image_row17_col3.png,17,3,0
gee_image_row17_col30.png,17,30,0
gee_image_row17_col4.png,17,4,0
gee_image_row17_col5.png,17,5,0
gee_image_row17_col6.png,17,6,0
gee_image_row17_col7.png,17,7,0
gee_image_row17_col8.png,17,8,0
gee_image_row17_col9.png,17,9,3
gee_image_row18_col0.png,18,0,0
gee_image_row18_col1.png,18,1,0
